Scan Mz Intensity
10843 55.0547 0.15341701534170155
10843 57.034 0.10382767704943437
10884 50.4941 0.5251706804711531
10884 53.7691 0.2850926551129117
10890 53.4185 0.4745391494798321
10960 55.0524 0.10404229916425038
10960 55.0548 0.11086474501108648
10965 57.034 0.26420079260237783
10965 57.0704 0.1467782181124321
10965 57.6953 0.24952297079113459
10988 55.0547 0.24511570903323482
11009 53.0389 0.14171993728138946
11028 54.4799 0.2312103088969727
11028 55.0547 0.16955422652444663
11045 55.0546 0.5917620493654131
11094 51.8812 0.5123700775874689
11094 53.3408 0.22324696237739716
11097 55.0548 0.20568574157055755
11097 57.0703 0.31587453169764196
11106 51.8332 0.3072289156626506
11106 55.0547 0.1144578313253012
11106 58.0658 0.1746987951807229
11148 55.0548 0.8233058898036733
11156 55.0547 0.5257383194660328
